game_name,plots,cluster,Topic,link
Horizon Zero Dawn,"The player takes on the role of Aloy, a young woman living in a post-apocalyptic world where huge robotic creatures roam the land. Aloy must uncover the origins of these machines and unveil the secrets of her own past",1,Exploration & Adventure ,https://en.wikipedia.org/wiki/Horizon_Zero_Dawn
Stardew Valley,"The player inherits a plot of land from their grandfather and decides to leave their current life behind to become a farmer. The player's task is to build up and develop the farm, make friends with the villagers, and uncover the secrets of the town.",1,Exploration & Adventure ,https://en.wikipedia.org/wiki/Stardew_Valley
The Witcher 3: Wild Hunt,"The player takes on the role of Geralt, a witcher, who must search for his daughter Ciri, who is said to possess an extraordinary power. In the process, Geralt must confront powerful enemies and uncover the truth about Ciri's origins",1,Exploration & Adventure ,https://en.wikipedia.org/wiki/The_Witcher_3:_Wild_Hunt
No Man's Sky,"The player is a space explorer, discovering and exploring a vast number of unique planets and galaxies. They can gather resources, trade, build, and conquer different environments in this infinite universe",1,Exploration & Adventure ,https://en.wikipedia.org/wiki/No_Man%27s_Sky
Minecraft,"The player is thrown into a blocky, sandbox world where they can freely build, mine resources, craft items, and battle strange creatures. The main objective is to survive and thrive in the vast Minecraft world",1,Exploration & Adventure ,https://en.wikipedia.org/wiki/Minecraft
Call of Duty: Modern Warfare,"The player takes on the role of special forces soldiers engaged in intense modern combat operations across the globe. The gameplay features realistic firearm combat, tactical maneuvers, and coordinated team-based assaults against enemy forces",0,Fight in teams & gun battle,https://en.wikipedia.org/wiki/Call_of_Duty#Modern_Warfare_series
Battlefield,"Set during the tumultuous World War I era, the game immerses players in large-scale, historical battles featuring a vast arsenal of period-accurate weapons and vehicles. Players can coordinate combined arms strategies, utilizing infantry, tanks, aircraft, and more to emerge victorious in epic battlefield clashes",0,Fight in teams & gun battle,https://en.wikipedia.org/wiki/Battlefield
Halo: Combat Evolved,"The player controls the super-soldier Master Chief, who wields a futuristic arsenal of plasma-based weapons and grenades to combat the alien Covenant forces. The game's sci-fi setting allows for the exploration of advanced military technologies and intense extraterrestrial conflicts.",0,Fight in teams & gun battle,https://en.wikipedia.org/wiki/Halo:_Combat_Evolved
Counter-Strike: Global Offensive,"A team-based tactical shooter where two opposing teams of Counter-Terrorists and Terrorists engage in high-stakes, round-based battles using realistic firearms. Precise weapon handling, strategic planning, and effective team communication are critical to success in this competitive, multiplayer-focused combat experience.",0,Fight in teams & gun battle,https://en.wikipedia.org/wiki/Counter-Strike:_Global_Offensive
Tom Clancy's Rainbow Six Siege,"Players join an elite counter-terrorist unit and participate in intense, tactical close-quarters combat scenarios, utilizing a variety of specialized weapons and gadgets.The game emphasizes destructible environments, carefully planned breaching maneuvers, and coordinated team play to overcome challenging, real-world inspired combat situations.",0,Fight in teams & gun battle,https://en.wikipedia.org/wiki/Tom_Clancy%27s_Rainbow_Six_Siege
The Sims 4: Discover University,"In this expansion pack, players can explore the world of high fashion and design their Sims' stylish outfits, accessories, and clothing. Customize your Sims' trendy looks, from chic campus attire to the latest haute couture designs.
",6,Clothes & fashion,https://en.wikipedia.org/wiki/The_Sims_4_expansion_packs#Discover_University
Animal Crossing: New Horizons,"Players can express their personal fashion sense by dressing up their animal villagers in a variety of fashionable clothing, hats, and accessories. Curate a closet of unique, stylish outfits to showcase your Sim's evolving sense of fashion on their island paradise.",6,Clothes & fashion,https://en.wikipedia.org/wiki/Animal_Crossing:_New_Horizons
Final Fantasy XV: Comrades,"In this multiplayer expansion, players can outfit their custom characters in a diverse range of avant-garde, high-fashion inspired looks. Experiment with cutting-edge fashion trends and accessories to create your own distinct, fashionable warrior persona.
",6,Clothes & fashion,https://en.wikipedia.org/wiki/Final_Fantasy_XV#Multiplayer
Detroit: Become Human,"Set in a futuristic world, the game allows players to dress their android characters in sleek, modern fashion designs that reflect their evolving sense of identity.
Explore the world of tomorrow's fashion, blending technology and style to craft your androids' unique, high-tech attire.",6,Clothes & fashion,https://en.wikipedia.org/wiki/Detroit:_Become_Human
Persona 5 Roya,"As the Phantom Thieves, players can dress their stylish protagonists in a variety of trendy, boldly designed outfits that embody their rebellious spirit.
Curate a wardrobe of fashionable, statement-making clothes and accessories to express your Persona character's unique sense of style",6,Clothes & fashion,https://megamitensei.fandom.com/wiki/Persona_5_Royal
Dota 2,"A classic multiplayer online battle arena (MOBA) game where two teams of five powerful heroes clash in intense, strategic combat. Players select from a vast roster of unique hero characters, each with distinct abilities, to outmaneuver and defeat the opposing team.
",5,Multiplayer online battle arena,https://en.wikipedia.org/wiki/Dota_2
League of Legends,"A pioneering MOBA game that pits two teams of champion heroes against each other in epic, competitive battles.
Assemble a team of diverse, specialized hero characters and coordinate their unique skills and abilities to secure victory.",5,Multiplayer online battle arena,https://en.wikipedia.org/wiki/League_of_Legends
Overwatch,"A team-based, hero-focused shooter where players choose from a diverse cast of unique, specialized characters to engage in dynamic, objective-based combat.
Utilize the distinctive powers and playstyles of each hero character to work together as a coordinated team and overcome the opposing side.
",5,Multiplayer online battle arena,https://en.wikipedia.org/wiki/Overwatch
Heroes of the Storm,"A hero brawler that brings together iconic characters from across the Blizzard Entertainment universe to compete in team-based, objective-driven battles.
Assemble a team of powerful hero characters, each with their own specialized abilities, to outmaneuver and defeat the enemy team.",5,Multiplayer online battle arena,https://en.wikipedia.org/wiki/Heroes_of_the_Storm
Smite,"A MOBA game that features a pantheon of mythological gods and heroes from various ancient civilizations engaged in divine combat.
Select from a roster of powerful divine hero characters, each representing a distinct deity, and use their unique godly abilities to dominate the battlefield.",5,Multiplayer online battle arena,https://smitegame.com/
FIFA 24,"The premier football (soccer) simulation game, featuring realistic player models, teams, and leagues from around the world.
Players can take control of their favorite professional football clubs and compete in intense, high-stakes matches on the virtual pitch.",4,Sport,https://en.wikipedia.org/wiki/EA_Sports_FC_24
Madden NFL 24,"The long-running American football simulation game, delivering an authentic and immersive NFL experience.
Players can step into the role of NFL team owners, coaches, or star players, strategizing and executing plays to dominate the gridiron.",4,Sport,https://en.wikipedia.org/wiki/Madden_NFL_24
NBA 2K24,"The definitive basketball simulation game, capturing the intensity and skill of the NBA with highly detailed player models and realistic gameplay.
Players can manage their own NBA franchise, recruit star players, and lead their team to championship glory on the virtual hardwood court.",4,Sport,https://en.wikipedia.org/wiki/NBA_2K24
MLB The Show 24,"The premier baseball simulation game, offering a true-to-life representation of the Major League Baseball experience.
Players can step up to the plate as their favorite MLB stars, showcasing their batting prowess and fielding skills in competitive, stadium-based matches.",4,Sport,https://en.wikipedia.org/wiki/MLB_The_Show_24
Mario Strikers: Battle League,"A high-energy, arcade-style football (soccer) game featuring iconic Nintendo characters engaged in fast-paced, over-the-top sports matches.
Players can assemble a team of their favorite Nintendo heroes and utilize their unique special abilities to outmaneuver and score against their opponents.",5,Multiplayer online battle arena,https://en.wikipedia.org/wiki/Mario_Strikers:_Battle_League
The Witness,"An open-world, first-person puzzle game that challenges players to explore a mysterious island and uncover the solutions to a myriad of intricate, interconnected puzzles.
Employ your problem-solving skills and powers of observation to decipher the complex, multifaceted puzzles hidden throughout the vibrant, enigmatic environment.",2,IQ test & puzzle,https://en.wikipedia.org/wiki/The_Witness_(2016_video_game)
Baba Is You,"An innovative, rule-manipulating puzzle game where the objective is to change the rules of the game world itself to solve increasingly complex puzzles.
Experiment with altering the fundamental elements and logic of each puzzle level, reshaping the game's mechanics to find unique solutions.",2,IQ test & puzzle,https://en.wikipedia.org/wiki/Baba_Is_You
Monument Valley,"A captivating, isometric puzzle game that tasks players with guiding a princess through a surreal, ever-changing landscape filled with optical illusions and mind-bending challenges.
Leverage your spatial awareness and problem-solving acumen to navigate the puzzling, dreamlike architecture and overcome the obstacles that stand in your path.",2,IQ test & puzzle,https://en.wikipedia.org/wiki/Monument_Valley
Sudoku,"A classic, number-based logic puzzle game that challenges players to fill a 9x9 grid with digits, following the rules of row, column, and 3x3 box completion.
Apply deductive reasoning and systematic problem-solving techniques to deduce the correct placement of numbers and solve the intricate Sudoku puzzles.
",2,IQ test & puzzle,https://sudoku.com/
The Room,"A series of intricate, tactile puzzle games that immerse players in the exploration of mysterious, elaborately crafted boxes and structures, uncovering their hidden secrets.
Manipulate, inspect, and solve the multi-layered puzzles embedded within each enigmatic, interactive environment to progress through the captivating narrative.",2,IQ test & puzzle,https://en.wikipedia.org/wiki/The_Room_(video_game)
Resident Evil Village,"A chilling survival horror game that plunges players into a nightmarish, supernatural world filled with terrifying creatures and unspeakable dangers.
Confront the malevolent forces that haunt the eerie, isolated village, using a blend of resource management, combat, and puzzle-solving to survive the horrific ordeal.",3,Jump-scare & horror,https://en.wikipedia.org/wiki/Resident_Evil_Village
Dead by Daylight,"An intense, asymmetrical multiplayer horror game where a team of survivors must evade and outsmart a powerful, relentless killer stalking them in a deadly, fog-shrouded environment.
Utilize stealth, teamwork, and cunning to escape the clutches of the horrifying, unstoppable entity that hunts you and your fellow survivors.",3,Jump-scare & horror,https://en.wikipedia.org/wiki/Dead_by_Daylight
Alien: Isolation,"A deeply immersive, first-person survival horror game that pits players against the iconic, merciless Xenomorph alien in a claustrophobic, dread-inducing atmosphere.
Employ stealth, resourcefulness, and quick thinking to evade the terrifying, predatory alien while navigating the dark, unsettling environments of the space station.",3,Jump-scare & horror,https://en.wikipedia.org/wiki/Alien:_Isolation
Layers of Fear,"A psychological horror game that delves into the twisted psyche of a tormented artist, unraveling a haunting, mind-bending narrative through surreal, unsettling visuals and audio.
Explore the macabre, shifting environment, uncovering the disturbing secrets and traumatic memories that haunt the protagonist's fragmented mind.",3,Jump-scare & horror,https://en.wikipedia.org/wiki/Layers_of_Fear
Outlast,"A first-person survival horror game that challenges players to navigate a remote psychiatric hospital, armed only with a camcorder to document the horrific, supernatural events unfolding around them.
Rely on stealth, evasion, and your wits to survive the onslaught of monstrous, deranged inmates and uncover the dark secrets buried within the asylum.",3,Jump-scare & horror,https://en.wikipedia.org/wiki/Outlast
